epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
135,1466.63,0.41521,0.379,0.84301,0.96993,0.97014,0.99042,0.877,0.63398,0.57957,0.92259,0.000481144,0.000481144,0.000481144
136,1477.45,0.43635,0.38638,0.86333,0.96997,0.9667,0.99085,0.87359,0.63581,0.57606,0.92455,0.000474071,0.000474071,0.000474071
137,1488.34,0.40764,0.37979,0.86741,0.98225,0.95797,0.99083,0.87577,0.62538,0.55828,0.92131,0.000466997,0.000466997,0.000466997
138,1498.9,0.44745,0.39721,0.8721,0.98571,0.96245,0.99054,0.87956,0.58922,0.54686,0.91757,0.000459924,0.000459924,0.000459924
139,1509.44,0.40878,0.38201,0.85215,0.97935,0.96491,0.99066,0.87914,0.56986,0.55363,0.91585,0.00045285,0.00045285,0.00045285
140,1520.02,0.42819,0.37672,0.8489,0.97791,0.97095,0.98969,0.87357,0.60431,0.58462,0.92677,0.000445777,0.000445777,0.000445777
141,1530.72,0.40061,0.35288,0.85359,0.97473,0.97225,0.98924,0.87279,0.60023,0.59933,0.92564,0.000438703,0.000438703,0.000438703
142,1541.5,0.4378,0.3803,0.88213,0.97839,0.96506,0.99008,0.87286,0.57552,0.58226,0.91784,0.000431629,0.000431629,0.000431629
143,1552.33,0.42219,0.36706,0.86338,0.98064,0.96175,0.99016,0.87404,0.57996,0.5752,0.91502,0.000424556,0.000424556,0.000424556
144,1563.16,0.41802,0.3669,0.8642,0.97384,0.97319,0.99001,0.86649,0.63087,0.57712,0.91439,0.000417482,0.000417482,0.000417482
145,1573.85,0.43242,0.38473,0.86558,0.97429,0.97526,0.99039,0.86527,0.62215,0.57566,0.90975,0.000410409,0.000410409,0.000410409
146,1584.52,0.45268,0.38815,0.87846,0.97653,0.96436,0.99076,0.87334,0.57321,0.57029,0.89784,0.000403335,0.000403335,0.000403335
147,1595.26,0.40914,0.36955,0.86654,0.96969,0.96387,0.99048,0.87661,0.54846,0.56878,0.88668,0.000396262,0.000396262,0.000396262
148,1606.01,0.39956,0.37277,0.86592,0.97253,0.96509,0.98992,0.87632,0.57152,0.55889,0.88356,0.000389188,0.000389188,0.000389188
149,1616.81,0.39775,0.356,0.85291,0.9764,0.96681,0.99033,0.867,0.59813,0.55186,0.88977,0.000382115,0.000382115,0.000382115
150,1627.32,0.43884,0.37897,0.88208,0.9766,0.9668,0.99044,0.8678,0.58515,0.54485,0.89139,0.000375041,0.000375041,0.000375041
151,1637.77,0.40464,0.36459,0.86615,0.97909,0.96926,0.99108,0.87362,0.53381,0.53486,0.8871,0.000367967,0.000367967,0.000367967
152,1648.66,0.41024,0.37215,0.85562,0.97877,0.97159,0.99238,0.88783,0.50533,0.51615,0.88258,0.000360894,0.000360894,0.000360894
153,1659.56,0.39307,0.35354,0.84937,0.97605,0.97809,0.99285,0.8875,0.51505,0.50947,0.88374,0.00035382,0.00035382,0.00035382
154,1670.29,0.40189,0.37074,0.86077,0.97491,0.97835,0.99306,0.88534,0.52018,0.50704,0.88537,0.000346747,0.000346747,0.000346747
155,1680.8,0.44338,0.37592,0.86235,0.97585,0.97664,0.99283,0.88433,0.5427,0.50331,0.88623,0.000339673,0.000339673,0.000339673
156,1691.28,0.38928,0.3524,0.86009,0.97022,0.9739,0.99287,0.8807,0.55182,0.50698,0.88722,0.0003326,0.0003326,0.0003326
157,1701.7,0.41306,0.35845,0.8519,0.97013,0.97843,0.99303,0.88355,0.5368,0.50736,0.88525,0.000325526,0.000325526,0.000325526
158,1712.47,0.43928,0.37827,0.88899,0.98118,0.96652,0.99301,0.88848,0.52517,0.5135,0.88391,0.000318453,0.000318453,0.000318453
159,1723.58,0.39566,0.36884,0.85052,0.98506,0.96929,0.99299,0.88893,0.53431,0.51694,0.88371,0.000311379,0.000311379,0.000311379
160,1734.71,0.42331,0.35977,0.8638,0.97997,0.97652,0.99278,0.87698,0.53958,0.52746,0.8876,0.000304306,0.000304306,0.000304306
161,1745.27,0.38666,0.34627,0.84918,0.97741,0.98014,0.99248,0.87723,0.52318,0.53003,0.88883,0.000297232,0.000297232,0.000297232
162,1755.8,0.43089,0.38337,0.87969,0.98,0.97564,0.99187,0.8814,0.51447,0.53245,0.89013,0.000290158,0.000290158,0.000290158
163,1766.34,0.42418,0.36071,0.87831,0.97866,0.97044,0.99159,0.88305,0.53013,0.53917,0.89132,0.000283085,0.000283085,0.000283085
164,1777.05,0.37731,0.35416,0.85231,0.96249,0.98014,0.99152,0.88344,0.53908,0.53086,0.89213,0.000276011,0.000276011,0.000276011
165,1787.67,0.42219,0.36199,0.86548,0.96463,0.98155,0.99169,0.88201,0.54955,0.5331,0.89384,0.000268938,0.000268938,0.000268938
166,1798.36,0.42428,0.36267,0.86671,0.97799,0.97002,0.99143,0.87757,0.56826,0.546,0.89583,0.000261864,0.000261864,0.000261864
167,1808.92,0.40647,0.35339,0.85928,0.98072,0.96976,0.9914,0.87747,0.574,0.53802,0.89931,0.000254791,0.000254791,0.000254791
168,1819.55,0.40774,0.36614,0.86872,0.96835,0.98433,0.99221,0.8832,0.54522,0.52705,0.90032,0.000247717,0.000247717,0.000247717
169,1830.23,0.37793,0.3407,0.85662,0.97066,0.98623,0.99213,0.88396,0.52765,0.52572,0.89483,0.000240644,0.000240644,0.000240644
170,1840.91,0.41298,0.3604,0.85808,0.96829,0.98766,0.99243,0.88051,0.52079,0.52874,0.89266,0.00023357,0.00023357,0.00023357
171,1851.88,0.39439,0.34492,0.86638,0.96291,0.98761,0.99241,0.88377,0.51349,0.52821,0.89053,0.000226497,0.000226497,0.000226497
172,1862.57,0.3992,0.35285,0.8717,0.96564,0.98606,0.99192,0.88661,0.50661,0.52892,0.89164,0.000219423,0.000219423,0.000219423
173,1873.16,0.39503,0.3488,0.85767,0.97079,0.9871,0.99171,0.88355,0.52413,0.53559,0.89793,0.000212349,0.000212349,0.000212349
174,1883.8,0.38928,0.34685,0.85903,0.97443,0.98622,0.99169,0.88225,0.53964,0.53795,0.90108,0.000205276,0.000205276,0.000205276
175,1894.87,0.38308,0.33656,0.86435,0.97186,0.98281,0.99126,0.88093,0.53675,0.53736,0.89999,0.000198202,0.000198202,0.000198202
176,1905.74,0.40445,0.35436,0.87076,0.96378,0.9871,0.99061,0.88527,0.53314,0.53383,0.89411,0.000191129,0.000191129,0.000191129
177,1916.64,0.39396,0.34048,0.84393,0.97076,0.9821,0.99016,0.883,0.54159,0.5371,0.89259,0.000184055,0.000184055,0.000184055
178,1927.21,0.36109,0.33161,0.8484,0.96955,0.98257,0.99022,0.88236,0.55169,0.53531,0.89179,0.000176982,0.000176982,0.000176982
179,1937.83,0.36525,0.33317,0.84696,0.96973,0.98171,0.99032,0.8828,0.55632,0.53575,0.89318,0.000169908,0.000169908,0.000169908
180,1948.51,0.3828,0.34399,0.85807,0.97305,0.97867,0.99082,0.88702,0.54775,0.52455,0.89924,0.000162835,0.000162835,0.000162835
181,1959.45,0.36972,0.32682,0.85554,0.97088,0.98014,0.99105,0.8878,0.54748,0.52057,0.90339,0.000155761,0.000155761,0.000155761
